IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
9552381,FRONTIER QUEEN,Panama,Bulk carrier,6,26/12/2016,Initial inspection,Spain - Ferrol,1,,,,,
8301838,GALISA,"Moldova, Republic of",General cargo/multipurpose,34,26/12/2016,More detailed inspection,Russian Federation - Eysk,5,,,,,
7942128,IVAN SERGIYENKO,Panama,General cargo/multipurpose,35,26/12/2016,More detailed inspection,Russian Federation - Rostov/Don,18,Detention,,,,
8951346,SYMPATHY,Belize,General cargo/multipurpose,44,26/12/2016,More detailed inspection,Russian Federation - Rostov/Don,3,,,,,
8885157,VASILIY TATISCHEV,"Congo, the Democratic Republic of the",General cargo/multipurpose,39,26/12/2016,More detailed inspection,Russian Federation - Azov,18,Detention,,,,
9249283,ATA-M,Malta,Bulk carrier,15,27/12/2016,Expanded inspection,Italy - Venice,6,,,,,
8033120,DAISY,"Congo, the Democratic Republic of the",General cargo/multipurpose,35,27/12/2016,More detailed inspection,Russian Federation - Rostov/Don,3,,,,,
9098696,ENVAR,Panama,General cargo/multipurpose,12,27/12/2016,More detailed inspection,Bulgaria - Burgas,7,,,,,
7901693,JULIA L.S.,"Tanzania, United Republic of",Livestock carrier,37,27/12/2016,More detailed inspection,Romania - Midia,2,,,,,
9285720,LOYALTY,"Isle of Man, UK",Oil tanker,12,27/12/2016,More detailed inspection,Italy - Augusta,1,,,,,
9471800,MODULUS 2,Russian Federation,General cargo/multipurpose,8,27/12/2016,More detailed inspection,Estonia - Muuga,1,,,,,
9203526,NIKOLAS,Panama,Container,17,27/12/2016,More detailed inspection,France - Le Havre (GPM),5,,,,,
9355771,OLYMPIC OCTOPUS,Norway,Offshore supply,11,27/12/2016,Initial inspection,United Kingdom - Aberdeen,8,,,,,
9252931,PRIDE,"Gibraltar, UK",General cargo/multipurpose,18,27/12/2016,More detailed inspection,Latvia - Riga,7,,,,,
9187978,SEHER II,Turkey,General cargo/multipurpose,19,27/12/2016,More detailed inspection,Spain - Cartagena,8,,,,,
9274329,STOLT VISION,Liberia,Chemical tanker,12,27/12/2016,Expanded inspection,Spain - Malaga,5,,,,,
9260366,TAMARA,Panama,Gas carrier,15,27/12/2016,Expanded inspection,Italy - Brindisi,3,,,,,
9424259,TOLGA TOMBA,Turkey,General cargo/multipurpose,10,27/12/2016,More detailed inspection,Bulgaria - Varna,3,,,,,
8129254,URANUS L,Sierra Leone,Livestock carrier,34,27/12/2016,More detailed inspection,Portugal - Setubal,2,,,,,
7833119,VILGA,Saint Vincent and the Grenadines,General cargo/multipurpose,36,27/12/2016,More detailed inspection,Russian Federation - Rostov/Don,10,,,,,
8230302,VOLGO-BALT 193,Comoros,General cargo/multipurpose,40,27/12/2016,More detailed inspection,Russian Federation - Azov,17,Detention,,,,
9503304,AGSU,Russian Federation,Oil tanker,9,28/12/2016,More detailed inspection,Estonia - Muuga,2,,,,,
8130681,CHL PROGRESSOR,Singapore,General cargo/multipurpose,32,28/12/2016,Initial inspection,France - Dunkerque (GPM),1,,,,,
9774848,CHRISTOS,Liberia,Bulk carrier,1,28/12/2016,More detailed inspection,United Kingdom - Liverpool,1,,,,,
9726528,EMERALD DONGJI,Hong Kong (China),Bulk carrier,2,28/12/2016,More detailed inspection,France - Marseille (GPM),9,,,,,
9349459,FEHN LIGHT,Antigua and Barbuda,General cargo/multipurpose,8,28/12/2016,More detailed inspection,Germany - Rostock,2,,,,,
9506150,GAZ EXPLORER,Panama,Gas carrier,6,28/12/2016,Initial inspection,Italy - Ravenna,1,,,,,
9052707,GERD,Antigua and Barbuda,General cargo/multipurpose,24,28/12/2016,More detailed inspection,Sweden - Sodertalje,2,,,,,
8866955,GERDA,Comoros,General cargo/multipurpose,46,28/12/2016,More detailed inspection,Russian Federation - Temryuk,10,,,,,
9728655,GREAT PROGRESS,Hong Kong (China),Bulk carrier,2,28/12/2016,More detailed inspection,Italy - Savona,2,,,,,
9045663,H. KAPTAN,Turkey,General cargo/multipurpose,28,28/12/2016,More detailed inspection,Croatia - Split,1,,,,,
9594444,HARLEQUIN,Cyprus,Bulk carrier,5,28/12/2016,More detailed inspection,Russian Federation - Kaliningrad,5,,,,,
8003058,ITIDAL,Togo,General cargo/multipurpose,35,28/12/2016,Expanded inspection,Croatia - Rijeka,2,,,,,
9038397,JOMI,Bahamas,General cargo/multipurpose,25,28/12/2016,More detailed inspection,Lithuania - Klaipeda,4,,,,,
9696424,LETO,Panama,Bulk carrier,3,28/12/2016,More detailed inspection,Spain - Bilbao,3,,,,,
9339923,MAPLE INGRID,Antigua and Barbuda,General cargo/multipurpose,12,28/12/2016,More detailed inspection,Italy - Genoa,8,Detention,,,,
9179311,MARTTA VG,Finland,General cargo/multipurpose,20,28/12/2016,More detailed inspection,Germany - Hamburg,16,Detention,,,,
9158692,MCS AILSA,Cyprus,Other special activities,20,28/12/2016,Initial inspection,United Kingdom - Avonmouth,3,,,,,
9039250,MSC JOY,Malta,Container,25,28/12/2016,More detailed inspection,Poland - Gdynia,20,Detention,,,,
8866022,PLUTON,Panama,General cargo/multipurpose,34,28/12/2016,More detailed inspection,Russian Federation - Rostov/Don,5,,,,,
8402840,PRINCESS AYAT,Sierra Leone,General cargo/multipurpose,32,28/12/2016,More detailed inspection,Romania - Constanta,5,,,,,
9439773,RIDGEBURY CINDY A,Marshall Islands,Oil tanker,8,28/12/2016,More detailed inspection,Canada - Dartmouth,2,,,,,
9066045,SEG,Russian Federation,General cargo/multipurpose,24,28/12/2016,More detailed inspection,Latvia - Riga,6,,,,,
7529639,SEMYON MOROZOV,Palau,General cargo/multipurpose,41,28/12/2016,More detailed inspection,Russian Federation - Rostov/Don,11,,,,,
8841618,SVYATOY GEORGIY,Comoros,General cargo/multipurpose,39,28/12/2016,More detailed inspection,Russian Federation - Azov,7,Detention,,,,
9231121,VICENTE,Liberia,General cargo/multipurpose,15,28/12/2016,More detailed inspection,France - Dunkerque (GPM),5,,,,,
9155975,VISURGIS,Cyprus,General cargo/multipurpose,20,28/12/2016,More detailed inspection,Finland - Kokkola,1,,,,,
9647215,VOS FAITHFUL,United Kingdom,Offshore supply,4,28/12/2016,More detailed inspection,Norway - Risavika,1,,,,,
8203684,YUZER 1,Vanuatu,General cargo/multipurpose,34,28/12/2016,More detailed inspection,Bulgaria - Burgas,3,,,,,
9519169,ALLEGRA,Malta,Bulk carrier,6,29/12/2016,More detailed inspection,Germany - Bremerhaven,1,,,,,
9198630,ANTJE K.,Netherlands,General cargo/multipurpose,18,29/12/2016,Initial inspection,Poland - Nowy Port/Gdansk,4,,,,,
9398008,ATHENA,Malta,Passenger ship,10,29/12/2016,More detailed inspection,Croatia - Zadar,3,,,,,
9223899,ATLANTIC PENDANT,Cyprus,General cargo/multipurpose,14,29/12/2016,Initial inspection,Canada - Port Alfred - La Baie,1,,,,,
8811390,BAKU,Turkey,General cargo/multipurpose,27,29/12/2016,More detailed inspection,Greece - Volos,3,,,,,
9327396,BALTIC FREEDOM,Malta,Chemical tanker,10,29/12/2016,More detailed inspection,United Kingdom - Fawley,3,,,,,
9285665,E.R. YOKOHAMA,Luxembourg,Container,12,29/12/2016,More detailed inspection,United Kingdom - Felixstowe,4,,,,,
9538153,ELEKTRA,Bahamas,Chemical tanker,5,29/12/2016,More detailed inspection,Netherlands - Rotterdam,2,,,,,
9552836,GLORIOUS WIND,Panama,Bulk carrier,6,29/12/2016,More detailed inspection,Netherlands - Amsterdam,1,,,,,
8800298,GOLDEN SEA,Mongolia,Gas carrier,28,29/12/2016,Expanded inspection,Russian Federation - Temryuk,16,,,,,
7382366,HABIB NECCAR,Panama,Ro-Ro cargo,43,29/12/2016,More detailed inspection,Italy - Piombino,6,,,,,
9767376,MSC MIRJAM,Liberia,Container,1,29/12/2016,More detailed inspection,United Kingdom - Felixstowe,3,,,,,
9040962,MUAMMER YAGCI,Turkey,General cargo/multipurpose,25,29/12/2016,More detailed inspection,Greece - Larymna,2,,,,,
9453054,PATRICIA V,Liberia,Bulk carrier,6,29/12/2016,More detailed inspection,United Kingdom - Liverpool,2,,,,,
9262534,POCHARD S,Cook Islands,Bulk carrier,14,29/12/2016,Expanded inspection,Romania - Constanta,5,,,,,
9437323,PRIMA DORA,Marshall Islands,General cargo/multipurpose,7,29/12/2016,More detailed inspection,United Kingdom - Hull,6,,,,,
9342827,RED JASMINE,Panama,Bulk carrier,12,29/12/2016,Expanded inspection,Canada - Vancouver,3,,,,,
9215505,STENA NORDICA,United Kingdom,Ro-Ro passenger ship,16,29/12/2016,Expanded inspection,Ireland - Dublin,4,,,,,
9256248,TELLURIDE,Marshall Islands,Oil tanker,14,29/12/2016,Expanded inspection,Norway - Slagentangen,12,Detention,,,,
8842583,URLA,"Moldova, Republic of",General cargo/multipurpose,25,29/12/2016,More detailed inspection,Russian Federation - Rostov/Don,5,,,,,
9607643,ZEFIREA,Italy,Chemical tanker,5,29/12/2016,Initial inspection,Spain - Barcelona,1,,,,,
9238478,26 AGUSTOS,Turkey,Bulk carrier,15,30/12/2016,Expanded inspection,Spain - Cartagena,1,,,,,
8725656,40 LET POBEDY,Belize,General cargo/multipurpose,32,30/12/2016,More detailed inspection,Russian Federation - Azov,5,,,,,
9016155,AMIR BEY,"Tanzania, United Republic of",General cargo/multipurpose,26,30/12/2016,Expanded inspection,Romania - Constanta,2,,,,,
9698795,APUS,Marshall Islands,Bulk carrier,2,30/12/2016,More detailed inspection,Canada - Trois Rivieres,1,,,,,
9670418,CASCADE,Panama,Bulk carrier,3,30/12/2016,Initial inspection,Greece - Psakhna,3,,,,,
9375953,CLIPPER TRADER,Bahamas,Bulk carrier,9,30/12/2016,More detailed inspection,Latvia - Riga,4,,,,,
9122227,CONGER,Antigua and Barbuda,Container,22,30/12/2016,More detailed inspection,Lithuania - Klaipeda,1,,,,,
9081332,ELANDSGRACHT,Netherlands,General cargo/multipurpose,23,30/12/2016,Initial inspection,Finland - Kemi,1,,,,,
9249685,GAZ CENTURY,Panama,Gas carrier,15,30/12/2016,Expanded inspection,Greece - Aspropirgos,2,,,,,
9510747,KUGELBAKE,Germany,Ro-Ro cargo,9,30/12/2016,Initial inspection,Netherlands - Delfzijl,1,,,,,
8004090,MARISA N,Italy,Oil tanker,36,30/12/2016,Expanded inspection,Croatia - Bakar,1,,,,,
8230065,MAYKOP,"Congo, the Democratic Republic of the",General cargo/multipurpose,43,30/12/2016,More detailed inspection,Russian Federation - Taganrog,14,Detention,,,,
9668348,NSU NEWSTAR,Panama,Bulk carrier,6,30/12/2016,More detailed inspection,Canada - Robert's Bank,3,,,,,
8874421,OMSKIY 117,Comoros,General cargo/multipurpose,33,30/12/2016,More detailed inspection,Russian Federation - Rostov/Don,3,,,,,
9555321,ONIKS,Russian Federation,General cargo/multipurpose,6,30/12/2016,More detailed inspection,Germany - Kiel,4,,,,,
9375795,RORICHMOOR,Antigua and Barbuda,General cargo/multipurpose,12,30/12/2016,Initial inspection,Italy - Genoa,1,,,,,
9600645,SEATRUST,Malta,Bulk carrier,5,30/12/2016,Initial inspection,Netherlands - Rotterdam,3,,,,,
7510884,SKIFF,Togo,General cargo/multipurpose,40,30/12/2016,Expanded inspection,Greece - Eleusina (Elefsis),6,,,,,
9456159,TRENTA,Marshall Islands,Bulk carrier,7,30/12/2016,More detailed inspection,Bulgaria - Burgas,12,Detention,,,,
9344629,VB MALABATA,Morocco,Tug,11,30/12/2016,Initial inspection,Spain - Huelva,3,,,,,
9424223,ZEYNEP A,Malta,Chemical tanker,10,30/12/2016,More detailed inspection,Spain - Algeciras,1,,,,,
9215115,BLUE MARLIN,Liberia,Oil tanker,16,31/12/2016,Expanded inspection,Italy - Genoa,2,,,,,
9664926,KENNINGTON,Singapore,Gas carrier,4,31/12/2016,More detailed inspection,France - Marseille (GPM),1,,,,,
8230508,VOLGO-BALT 236,Belize,General cargo/multipurpose,34,31/12/2016,More detailed inspection,Russian Federation - Eysk,2,,,,,
9448669,E.R. RIGA,Liberia,Container,8,01/01/2017,More detailed inspection,Russian Federation - Saint Petersburg,1,,,,,
9233284,KALLIOPI L,Liberia,Bulk carrier,16,01/01/2017,Expanded inspection,Russian Federation - Vysotsk,2,,,,,
9452127,MUZAFFER BEY,Panama,General cargo/multipurpose,10,01/01/2017,More detailed inspection,United Kingdom - Gibraltar,1,,,,,
9296822,ANGELICA SCHULTE,Liberia,Oil tanker,12,02/01/2017,Expanded inspection,Italy - Trieste,2,,,,,
9418286,BOTNIA,Antigua and Barbuda,General cargo/multipurpose,10,02/01/2017,More detailed inspection,Poland - Szczecin,4,,,,,
9336608,CANEA,Marshall Islands,Bulk carrier,12,02/01/2017,Expanded inspection,United Kingdom - Immingham,5,,,,,
9261889,CMA CGM FORT ST LOUIS,France,Container,14,02/01/2017,Initial inspection,Germany - Hamburg,2,,,,,
9739305,CTG COBALT,Marshall Islands,Chemical tanker,1,02/01/2017,Initial inspection,Italy - Genoa,3,,,,,
9421611,EEMS SPRINTER,Netherlands,General cargo/multipurpose,10,02/01/2017,More detailed inspection,France - Saint Malo,3,,,,,
9081318,EGELANTIERSGRACHT,Netherlands,General cargo/multipurpose,23,02/01/2017,Initial inspection,Portugal - Leixoes,1,,,,,
9155951,FEED STAVANGER,Antigua and Barbuda,General cargo/multipurpose,20,02/01/2017,More detailed inspection,Denmark - Aarhus,1,,,,,
9207883,FINNKRAFT,Finland,Ro-Ro cargo,17,02/01/2017,More detailed inspection,Poland - Gdynia,5,,,,,
9320520,FWN RAPIDE,Netherlands,General cargo/multipurpose,12,02/01/2017,More detailed inspection,Russian Federation - Saint Petersburg,2,,,,,
9122930,GLOVIS CORONA,"Korea, Republic of",Ro-Ro cargo,21,02/01/2017,More detailed inspection,Germany - Bremerhaven,6,,,,,
9470387,GOLDEN DIAMOND,Hong Kong (China),Bulk carrier,4,02/01/2017,More detailed inspection,Finland - Kokkola,1,,,,,
9303211,GRAND VENUS,Panama,Ro-Ro cargo,12,02/01/2017,More detailed inspection,Slovenia - Koper,3,,,,,
6519302,IKAR,Poland,Tug,51,02/01/2017,More detailed inspection,Netherlands - Rotterdam,3,,,,,
9138642,ISMINI,Liberia,Bulk carrier,19,02/01/2017,More detailed inspection,Lithuania - Klaipeda,3,,,,,
8906781,LEADER 1,Saint Kitts and Nevis,Special purpose ship,27,02/01/2017,More detailed inspection,Norway - Bergen,2,,,,,
9177399,LUKA,Belize,General cargo/multipurpose,19,02/01/2017,More detailed inspection,Greece - Piraeus,13,Detention,,,,
9454125,MATRIX,Italy,Bulk carrier,10,02/01/2017,More detailed inspection,Portugal - Setubal,8,,,,,
9251042,MOHAC,Panama,Bulk carrier,16,02/01/2017,Expanded inspection,Netherlands - Amsterdam,5,Detention,,,,
9351581,MSC KIM,Panama,Container,9,02/01/2017,More detailed inspection,Poland - Gdynia,7,,,,,
7807031,NAKHODKA,Russian Federation,General cargo/multipurpose,40,02/01/2017,More detailed inspection,Greece - Amfilochia,4,,,,,
9534303,NIKLAS G.,Antigua and Barbuda,General cargo/multipurpose,8,02/01/2017,Initial inspection,Sweden - Kalmar,1,,,,,
9740433,NORTH STAR,Marshall Islands,Bulk carrier,2,02/01/2017,More detailed inspection,Germany - Hamburg,2,,,,,
9132519,OSMAN GAZI,Malta,Bulk carrier,19,02/01/2017,Expanded inspection,Italy - Venice,8,Detention,,,,
8716100,POLARIS VG,Finland,Ro-Ro cargo,28,02/01/2017,More detailed inspection,Germany - Rostock,1,,,,,
8858099,RUZGAR BEY,"Moldova, Republic of",General cargo/multipurpose,32,02/01/2017,More detailed inspection,Russian Federation - Azov,11,,,,,
9164562,SAMSKIP SKAFTAFELL,Netherlands,Container,18,02/01/2017,More detailed inspection,Iceland - Reykjavik,3,,,,,
8911736,SC AHTELA,Malta,Ro-Ro cargo,26,02/01/2017,Initial inspection,Netherlands - Rotterdam,4,,,,,
8871754,SHANNON,Vanuatu,Other special activities,26,02/01/2017,More detailed inspection,Netherlands - Eemshaven,3,,,,,
9611101,TYUMEN-1,Palau,General cargo/multipurpose,8,02/01/2017,More detailed inspection,Russian Federation - Azov,5,,,,,
9506253,ULUSOY-14,Turkey,Ro-Ro cargo,5,02/01/2017,More detailed inspection,Italy - Trieste,3,,,,,
9189512,WIND INNOVATION,United Kingdom,Other special activities,18,02/01/2017,Initial inspection,Denmark - Esbjerg,1,,,,,
8900684,ACORUS,"Moldova, Republic of",General cargo/multipurpose,28,03/01/2017,Expanded inspection,Bulgaria - Burgas,14,Detention,,,,
8624280,ALDWYCH,Togo,General cargo/multipurpose,30,03/01/2017,Expanded inspection,Russian Federation - Eysk,4,,,,,
9217826,ALETHINI,Marshall Islands,Bulk carrier,17,03/01/2017,Expanded inspection,Greece - Kalilimenes,9,,,,,
9347621,AMSTERDAM,Antigua and Barbuda,General cargo/multipurpose,10,03/01/2017,More detailed inspection,Netherlands - Rotterdam,18,Detention,,,,
9316048,ARIANA,Marshall Islands,Bulk carrier,12,03/01/2017,Expanded inspection,Germany - Butzfleth,2,,,,,
9081344,ARKONIA,Barbados,General cargo/multipurpose,23,03/01/2017,More detailed inspection,Ireland - Limerick,7,,,,,
9708992,BELGRANO,Marshall Islands,Bulk carrier,1,03/01/2017,More detailed inspection,Belgium - Gent,4,,,,,
9155418,BERUM,Antigua and Barbuda,General cargo/multipurpose,19,03/01/2017,More detailed inspection,Belgium - Antwerpen,8,,,,,
9153563,COSMOS ACE,Panama,Ro-Ro cargo,18,03/01/2017,Initial inspection,Germany - Bremerhaven,4,,,,,
9138525,DON QUIJOTE,Singapore,Ro-Ro cargo,19,03/01/2017,More detailed inspection,United Kingdom - Southampton,9,,,,,
9212644,FINNPULP,Finland,Ro-Ro cargo,15,03/01/2017,Initial inspection,Poland - Nowy Port/Gdansk,8,,,,,
9374674,FRANK W,Germany,General cargo/multipurpose,12,03/01/2017,More detailed inspection,Poland - Szczecin,8,,,,,
9632947,GENESIS,Liberia,Bulk carrier,5,03/01/2017,Initial inspection,Belgium - Gent,1,,,,,
8403337,GRACE,"Moldova, Republic of",General cargo/multipurpose,32,03/01/2017,Expanded inspection,Bulgaria - Burgas,10,,,,,
9131096,HAPPY BEAR,"Isle of Man, UK",Gas carrier,20,03/01/2017,Expanded inspection,Germany - Butzfleth,1,,,,,
9538531,HAVILA FANO,Norway,Other special activities,7,03/01/2017,Initial inspection,Denmark - Esbjerg,2,,,,,
9001825,JONGLEUR,Saint Vincent and the Grenadines,General cargo/multipurpose,26,03/01/2017,More detailed inspection,Germany - Lubeck,1,,,,,
9760378,LADY ARIETTE,Netherlands,Bulk carrier,6,03/01/2017,More detailed inspection,Denmark - Vordingborg,3,,,,,
9115937,LAFJELL,Saint Vincent and the Grenadines,General cargo/multipurpose,21,03/01/2017,More detailed inspection,Lithuania - Klaipeda,1,,,,,
9388388,LIBERTAS-H,Portugal,General cargo/multipurpose,12,03/01/2017,More detailed inspection,France - Bordeaux (GPM),5,,,,,
9438585,MARMINDORO,Antigua and Barbuda,General cargo/multipurpose,8,03/01/2017,More detailed inspection,Iceland - Mjoeyrarhofn,5,,,,,
9181675,MSC SARAH,Malta,Container,17,03/01/2017,More detailed inspection,Belgium - Antwerpen,2,,,,,
7531369,NAZLIKIZ,Turkey,General cargo/multipurpose,40,03/01/2017,More detailed inspection,France - Marseille (GPM),1,,,,,
9283629,PGC ASPROPYRGOS,Bahamas,Oil tanker,13,03/01/2017,Expanded inspection,Cyprus - Limassol,2,,,,,
9429194,POLLUX,Antigua and Barbuda,Container,8,03/01/2017,More detailed inspection,Ireland - Dublin,1,,,,,
9286774,RIO TAKU,Liberia,Container,12,03/01/2017,More detailed inspection,Spain - Algeciras,2,,,,,
9350537,SIGMA,Liberia,General cargo/multipurpose,12,03/01/2017,More detailed inspection,Italy - Venice,10,Detention,,,,
9724740,SKYWALKER,Liberia,Bulk carrier,2,03/01/2017,More detailed inspection,Italy - Ravenna,1,,,,,
9401934,ST. ANDREW,Malta,General cargo/multipurpose,10,03/01/2017,Initial inspection,Belgium - Antwerpen,3,,,,,
9497880,STAR ATHENA,Norway,Bulk carrier,5,03/01/2017,More detailed inspection,Canada - Vancouver,3,,,,,
9321380,STAVFJORD,Netherlands,General cargo/multipurpose,12,03/01/2017,Initial inspection,Iceland - Hafnarfjordur,1,,,,,
9489821,TBC PROGRESS,Panama,Bulk carrier,5,03/01/2017,More detailed inspection,United Kingdom - Gibraltar,2,,,,,
9164718,TRANS HOLM,Malta,Chemical tanker,18,03/01/2017,More detailed inspection,Germany - Hamburg,2,,,,,
9649249,TUO FU 8,Hong Kong (China),Bulk carrier,5,03/01/2017,More detailed inspection,Netherlands - Rotterdam,4,,,,,
8841632,VOLGO-BALT 213,Saint Kitts and Nevis,General cargo/multipurpose,39,03/01/2017,More detailed inspection,Russian Federation - Eysk,5,,,,,
9687306,WEDELSBORG,Italy,Ro-Ro cargo,8,03/01/2017,More detailed inspection,Spain - Sagunto,4,,,,,
9198458,WILSON LAHN,Barbados,General cargo/multipurpose,18,03/01/2017,Initial inspection,Poland - Gdynia,3,,,,,
9145542,WILSON RUHR,Barbados,General cargo/multipurpose,20,03/01/2017,Initial inspection,Netherlands - Rotterdam,3,,,,,
7811032,A PLUS-1,Vanuatu,General cargo/multipurpose,37,04/01/2017,More detailed inspection,Russian Federation - Eysk,13,,,,,
9703241,ANANGEL EXCELLENCE,Malta,Bulk carrier,1,04/01/2017,More detailed inspection,Netherlands - Amsterdam,2,,,,,
9591088,ANTONIA S,Liberia,Bulk carrier,4,04/01/2017,More detailed inspection,Russian Federation - Saint Petersburg,1,,,,,
9210701,BASEL EXPRESS,Panama,General cargo/multipurpose,17,04/01/2017,More detailed inspection,Romania - Constanta,9,,,,,
8113293,BLUE MOON,Togo,General cargo/multipurpose,35,04/01/2017,More detailed inspection,Italy - Chioggia,4,,,,,
8971188,BORIS PEVKIN,Comoros,General cargo/multipurpose,27,04/01/2017,More detailed inspection,Russian Federation - Rostov/Don,10,,,,,
9190353,BOUGA,Spain,General cargo/multipurpose,18,04/01/2017,Initial inspection,Ireland - Foynes,1,,,,,
9364320,CAPE FRONTIER,Panama,Bulk carrier,12,04/01/2017,More detailed inspection,Germany - Hamburg,13,,,,,
7721952,CHARLY,Togo,General cargo/multipurpose,39,04/01/2017,More detailed inspection,Greece - Thessaloniki,14,Detention,,,,
9360972,DANCE,Portugal,Container,11,04/01/2017,More detailed inspection,France - Le Havre (GPM),1,,,,,
9622849,DEVON BAY,Panama,Bulk carrier,6,04/01/2017,More detailed inspection,Poland - Gdynia,11,,,,,
9163685,DINTELBORG,Netherlands,General cargo/multipurpose,20,04/01/2017,More detailed inspection,Denmark - Frederikshavn,1,,,,,
9597812,DONA TARA,Panama,Bulk carrier,6,04/01/2017,More detailed inspection,Belgium - Gent,7,Detention,,,,
9082609,ELMA,Malta,Bulk carrier,22,04/01/2017,Expanded inspection,Romania - Constanta,6,,,,,
9213997,FEHN POLARIS,Antigua and Barbuda,General cargo/multipurpose,18,04/01/2017,More detailed inspection,Belgium - Antwerpen,2,,,,,
7702114,HELEN H,"Moldova, Republic of",General cargo/multipurpose,39,04/01/2017,Expanded inspection,Cyprus - ZYYI,8,,,,,
7615232,JAWDAT M,"Tanzania, United Republic of",General cargo/multipurpose,39,04/01/2017,Expanded inspection,Bulgaria - Varna,11,,,,,
9164732,KILSTRAUM,Malta,Chemical tanker,18,04/01/2017,Expanded inspection,Germany - Butzfleth,1,,,,,
9147875,LADY DEBORA,Antigua and Barbuda,General cargo/multipurpose,20,04/01/2017,More detailed inspection,France - Dunkerque (GPM),1,,,,,
9603788,MARIDIVE 704,Belize,Offshore supply,6,04/01/2017,More detailed inspection,Malta - Valletta,2,,,,,
9118238,MARPESSA,Barbados,Bulk carrier,21,04/01/2017,Expanded inspection,Italy - Taranto,8,Detention,,,,
9062283,NAJVA,"Iran, Islamic Republic of",General cargo/multipurpose,25,04/01/2017,More detailed inspection,Russian Federation - Eysk,5,,,,,
9489118,NAVIG8 CONSTELLATION,Marshall Islands,Chemical tanker,5,04/01/2017,More detailed inspection,Netherlands - Rotterdam,1,,,,,
9190004,OCEAN TRADER I,Liberia,Bulk carrier,18,04/01/2017,Expanded inspection,Spain - Aviles,4,,,,,
9473420,RIVERTEC,Hong Kong (China),Bulk carrier,8,04/01/2017,Initial inspection,France - Nantes-Saint Nazaire (GPM),1,,,,,
9167978,RIX PACIFIC,Latvia,General cargo/multipurpose,20,04/01/2017,More detailed inspection,Poland - Szczecin,14,,,,,
9285366,SCELVERINGHE,Netherlands,Other special activities,14,04/01/2017,More detailed inspection,Denmark - Esbjerg,3,,,,,
9314088,SEACHANCE,Malta,Oil tanker,12,04/01/2017,Expanded inspection,France - Marseille (GPM),2,,,,,
9306677,SLOMAN THEMIS,Malta,Oil tanker,12,04/01/2017,Expanded inspection,Romania - Constanta,2,,,,,
7740764,SORMOVSKIY-54,Palau,General cargo/multipurpose,38,04/01/2017,More detailed inspection,Russian Federation - Rostov/Don,15,Detention,,,,
9486570,SREDNA GORA,Malta,Bulk carrier,8,04/01/2017,More detailed inspection,Spain - Castellon de la Plana,2,,,,,
9419175,STENA BRITANNICA,United Kingdom,Ro-Ro passenger ship,8,04/01/2017,More detailed inspection,Netherlands - Rotterdam,5,,,,,
9044932,SWE-BULK,Cyprus,General cargo/multipurpose,25,04/01/2017,Initial inspection,Poland - Gdynia,4,,,,,
9619892,TAIZHOU PIONEER,Malta,Bulk carrier,5,04/01/2017,Initial inspection,United Kingdom - Newport (Gwent),1,,,,,
9107394,THEA II,Antigua and Barbuda,Container,22,04/01/2017,More detailed inspection,United Kingdom - Belfast,3,,,,,
9294965,THORCO CRYSTAL,Antigua and Barbuda,General cargo/multipurpose,14,04/01/2017,Initial inspection,Belgium - Antwerpen,4,,,,,
9277383,TINA,Netherlands,Container,14,04/01/2017,More detailed inspection,Norway - Oslo,4,,,,,
8415691,UTA,Cook Islands,General cargo/multipurpose,32,04/01/2017,More detailed inspection,Portugal - Setubal,11,Detention,,,,
9065417,WESER HIGHWAY,Panama,Ro-Ro cargo,23,04/01/2017,More detailed inspection,United Kingdom - Immingham,4,,,,,
9278090,YM FOUNTAIN,Liberia,Container,13,04/01/2017,Initial inspection,Greece - Piraeus,2,,,,,
9247106,AASHEIM,"Gibraltar, UK",General cargo/multipurpose,17,05/01/2017,More detailed inspection,Ireland - Waterford & Bellview,3,,,,,
9701310,ANNA G.,Panama,Bulk carrier,3,05/01/2017,More detailed inspection,Ireland - Aughinish,1,,,,,
9167863,APUANA D,Italy,Bulk carrier,19,05/01/2017,Expanded inspection,Belgium - Antwerpen,1,,,,,
9217917,ARCADIA,Malta,Bulk carrier,16,05/01/2017,Expanded inspection,Spain - Algeciras,2,,,,,
7528491,ARION,Netherlands,Tug,41,05/01/2017,More detailed inspection,Germany - Travemunde,1,,,,,
8616336,BLUE HORIZON,Greece,Ro-Ro passenger ship,30,05/01/2017,Expanded inspection,Malta - Valletta,10,Detention,,,,
9518098,BULK PORTUGAL,Panama,Bulk carrier,6,05/01/2017,More detailed inspection,Canada - Vancouver,4,,,,,
9456329,BULK POWER,Panama,Bulk carrier,7,05/01/2017,More detailed inspection,Netherlands - Amsterdam,7,Detention,,,,
9381809,BURHAN DIZMAN 1,Panama,General cargo/multipurpose,11,05/01/2017,More detailed inspection,Spain - Cabezuela,3,,,,,
8946810,DELTA,Saint Kitts and Nevis,General cargo/multipurpose,25,05/01/2017,More detailed inspection,Russian Federation - Rostov/Don,3,,,,,
9730232,ELISA,Cyprus,Bulk carrier,1,05/01/2017,More detailed inspection,Spain - Tarragona,5,,,,,
9168843,EVER UNIFIC,Singapore,Container,18,05/01/2017,More detailed inspection,Canada - Vancouver,1,,,,,
