IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
9212785,NECATI CAVUSOGLU,Turkey,General cargo/multipurpose,18,11/12/2016,More detailed inspection,Italy - Taranto,2,,,,,
9333644,NORDKINN,Faroe Islands,General cargo/multipurpose,11,11/12/2016,More detailed inspection,Lithuania - Klaipeda,3,,,,,
8842583,URLA,"Moldova, Republic of",General cargo/multipurpose,25,11/12/2016,Expanded inspection,Russian Federation - Eysk,5,,,,,
9306299,ADNAN N,Cook Islands,General cargo/multipurpose,12,12/12/2016,More detailed inspection,Belgium - Antwerpen,7,,,,,
9511351,AERO STAR,Panama,General cargo/multipurpose,8,12/12/2016,Initial inspection,Spain - Aviles,5,,,,,
9222481,ALMASI,Cyprus,Bulk carrier,15,12/12/2016,Expanded inspection,Portugal - Leixoes,1,,,,,
8727599,ALMERIA,Comoros,General cargo/multipurpose,40,12/12/2016,More detailed inspection,Russian Federation - Azov,15,Detention,,,,
8104565,AMANDA,Denmark,General cargo/multipurpose,35,12/12/2016,More detailed inspection,Lithuania - Klaipeda,1,,,,,
9344514,ARKLOW RIVAL,Ireland,General cargo/multipurpose,12,12/12/2016,Initial inspection,Belgium - Gent,3,,,,,
9333450,ASKO,Liberia,General cargo/multipurpose,22,12/12/2016,More detailed inspection,Sweden - Hasselbyverket,3,,,,,
9137296,CELTIC VIGOUR,Antigua and Barbuda,General cargo/multipurpose,21,12/12/2016,More detailed inspection,United Kingdom - Seaham,4,,,,,
9216597,CORNELIA,Cook Islands,General cargo/multipurpose,16,12/12/2016,More detailed inspection,Italy - Torre annunziata,2,,,,,
9341976,DS BLUE OCEAN,Liberia,Container,11,12/12/2016,More detailed inspection,United Kingdom - Northfleet,3,,,,,
6703343,EQUALITY,Lebanon,Livestock carrier,50,12/12/2016,More detailed inspection,Croatia - Rijeka,4,,,,,
9502623,GOOD WISH,Liberia,Bulk carrier,8,12/12/2016,More detailed inspection,Germany - Butzfleth,3,,,,,
9733260,LA CHAMBORDAIS,Malta,Bulk carrier,2,12/12/2016,More detailed inspection,United Kingdom - Liverpool,3,,,,,
9559169,LAURUS,"Moldova, Republic of",General cargo/multipurpose,8,12/12/2016,More detailed inspection,Greece - Rethimnon,10,,,,,
9121003,LIMAR,Marshall Islands,Chemical tanker,20,12/12/2016,Expanded inspection,Greece - Kalilimenes,2,,,,,
9315240,MAERSK SENANG,Singapore,Container,9,12/12/2016,More detailed inspection,Canada - Delta Port,1,,,,,
9320269,MAGNATE,Panama,Bulk carrier,12,12/12/2016,Expanded inspection,Bulgaria - Burgas,3,,,,,
9257395,MAROLA,Italy,Gas carrier,14,12/12/2016,Expanded inspection,France - Nantes-Saint Nazaire (GPM),2,,,,,
8904381,MEKHANIK FOMIN,Russian Federation,General cargo/multipurpose,27,12/12/2016,More detailed inspection,Belgium - Gent,2,,,,,
9301495,MSC BILBAO,Portugal,Container,11,12/12/2016,Initial inspection,Netherlands - Rotterdam,3,,,,,
9407299,MTS VALOUR,United Kingdom,Other special activities,10,12/12/2016,Initial inspection,Netherlands - Rotterdam,1,,,,,
9629706,NORD STEADY,Singapore,Chemical tanker,4,12/12/2016,More detailed inspection,Canada - Port Moody,1,,,,,
9133836,PRINS MAURITS,Netherlands,Gas carrier,19,12/12/2016,More detailed inspection,Poland - Gdansk,1,,,,,
9216987,RIO BLACKWATER,Liberia,Container,16,12/12/2016,Initial inspection,France - Marseille (GPM),2,,,,,
9283693,RIO TESLIN,Liberia,Container,13,12/12/2016,More detailed inspection,Germany - Hamburg,12,,,,,
9666510,ROBIN WIND,Panama,Bulk carrier,4,12/12/2016,More detailed inspection,Poland - Gdynia,5,,,,,
6815976,SANDHOLM,Denmark,Dredger,48,12/12/2016,More detailed inspection,Poland - Szczecin,3,,,,,
9300192,SARONIC SPIRE,Bahamas,Bulk carrier,12,12/12/2016,Expanded inspection,United Kingdom - Immingham,1,,,,,
9752010,SC CAPRICORN,Hong Kong (China),Chemical tanker,1,12/12/2016,More detailed inspection,United Kingdom - Gibraltar,2,,,,,
8516990,SC NORDIC,Faroe Islands,General cargo/multipurpose,30,12/12/2016,Initial inspection,Netherlands - Amsterdam,3,,,,,
9481908,SERAPHIMA,Liberia,General cargo/multipurpose,9,12/12/2016,More detailed inspection,Cyprus - Larnaca,5,,,,,
9502647,SHANDONG HAI CHANG,Hong Kong (China),Bulk carrier,6,12/12/2016,More detailed inspection,Canada - Vancouver,1,,,,,
9030486,SHETLAND TRADER,Barbados,General cargo/multipurpose,25,12/12/2016,Initial inspection,United Kingdom - Londonderry,2,,,,,
8917699,SHIPOOLSEA,Panama,General cargo/multipurpose,27,12/12/2016,More detailed inspection,Spain - Pasaia,13,,,,,
9381873,STARA PLANINA,Malta,Bulk carrier,10,12/12/2016,Initial inspection,Belgium - Antwerpen,2,,,,,
9307671,STEN BALTIC,Norway,Chemical tanker,12,12/12/2016,Expanded inspection,Canada - Hamilton,1,,,,,
9000613,VITIS,Panama,Chemical tanker,26,12/12/2016,Expanded inspection,France - Bordeaux (GPM),4,,,,,
8230364,VOLGO-BALT 208,Russian Federation,General cargo/multipurpose,39,12/12/2016,More detailed inspection,Italy - Venice,7,,,,,
9229087,VOORNEDIEP,Netherlands,General cargo/multipurpose,18,12/12/2016,More detailed inspection,Greece - Nea Moudhania,1,,,,,
9141118,WEGA,Germany,Container,21,12/12/2016,More detailed inspection,Spain - Las Palmas,9,,,,,
9191395,ACE,Liberia,Oil tanker,18,13/12/2016,More detailed inspection,Greece - Piraeus,4,,,,,
9317690,AEC ABILITY II,Bahamas,General cargo/multipurpose,12,13/12/2016,More detailed inspection,Italy - Taranto,1,,,,,
5411761,ARCA 1,Panama,Oil tanker,53,13/12/2016,More detailed inspection,Canada - Montreal,13,,,,,
9335989,ARTEMIS,Marshall Islands,Bulk carrier,12,13/12/2016,Expanded inspection,Italy - Brindisi,1,,,,,
8833881,BALTIMORE,Togo,General cargo/multipurpose,26,13/12/2016,More detailed inspection,Russian Federation - Rostov/Don,3,,,,,
7813937,BARI,Cyprus,Ro-Ro passenger ship,38,13/12/2016,Expanded inspection,Italy - Bari,13,,,,,
9571399,BBC DANUBE,Antigua and Barbuda,General cargo/multipurpose,7,13/12/2016,More detailed inspection,France - Rouen (GPM),1,,,,,
9115925,BRUFJELL,Saint Vincent and the Grenadines,General cargo/multipurpose,22,13/12/2016,Initial inspection,Belgium - Zeebrugge,3,,,,,
9333802,CHANTACO,France,Chemical tanker,11,13/12/2016,Initial inspection,Belgium - Antwerpen,2,,,,,
9232371,CIC PIRAEUS,Greece,Bulk carrier,15,13/12/2016,Expanded inspection,Italy - Brindisi,3,,,,,
9738727,CLIPPER BRILLANCE,Panama,Bulk carrier,3,13/12/2016,Initial inspection,Belgium - Antwerpen,1,,,,,
9019121,DURBAN STAR,Bahamas,Refrigerated cargo,25,13/12/2016,More detailed inspection,Russian Federation - Saint Petersburg,1,,,,,
9281920,ENERGY PIONEER,"Isle of Man, UK",Chemical tanker,12,13/12/2016,Expanded inspection,Norway - Hervikfjorden,2,,,,,
9503639,FADIQ,Malta,Ro-Ro cargo,7,13/12/2016,Initial inspection,Italy - Trieste,2,,,,,
9145267,HH EAST,Saint Kitts and Nevis,Container,19,13/12/2016,More detailed inspection,Malta - Marsaxlokk,3,,,,,
9428229,ICE STAR,Antigua and Barbuda,Container,9,13/12/2016,More detailed inspection,Netherlands - Rotterdam,1,Detention,,,,
9436305,JOHANNA SCHEPERS,Portugal,Container,8,13/12/2016,Initial inspection,Spain - Las Palmas,8,,,,,
